Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC_ROC
RandomForest,0.8646616541353384,0.7830188679245284,0.6412213740458015,0.88,0.3333333333333333,0.4835164835164835,0.6435897435897435
LightGBM,0.8270676691729323,0.8301886792452831,0.7709923664122137,0.86,0.6515151515151515,0.7413793103448276,0.7719114219114218
XGBoost,0.825563909774436,0.8301886792452831,0.7709923664122137,0.86,0.6515151515151515,0.7413793103448276,0.7719114219114218
LogisticRegression,0.8556390977443609,0.8679245283018868,0.816793893129771,0.8620689655172413,0.7575757575757576,0.8064516129032258,0.8172494172494172
AdaBoost,0.8631578947368421,0.8207547169811321,0.7251908396946565,0.8947368421052632,0.5151515151515151,0.6538461538461539,0.7268065268065268
CatBoost,0.8586466165413534,0.8207547169811321,0.8015267175572519,0.9,0.6818181818181818,0.7758620689655172,0.8024475524475524
GradientBoosting,0.8240601503759398,0.7924528301886793,0.6335877862595419,0.875,0.3181818181818182,0.4666666666666667,0.636013986013986
HistGradientBoosting,0.8481203007518797,0.8018867924528302,0.8091603053435115,0.8596491228070176,0.7424242424242424,0.7967479674796748,0.8096736596736597
StackingEnsemble,0.9022556390977443,0.8113207547169812,0.8091603053435115,0.8867924528301887,0.7121212121212122,0.7899159663865546,0.8099067599067599
LSTM,0.7858267716535433,0.7631578947368421,0.7524752475247525,0.9333333333333333,0.5490196078431373,0.691358024691358,0.7545098039215686
BiLSTM,0.8188976377952756,0.7894736842105263,0.8118811881188119,0.9210526315789473,0.6862745098039216,0.7865168539325843,0.8131372549019608
GRU,0.831496062992126,0.8026315789473685,0.8217821782178217,0.9024390243902439,0.7254901960784313,0.8043478260869565,0.8227450980392158
