Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC_ROC
RandomForest,0.8766716196136701,0.7666666666666667,0.628099173553719,0.6071428571428571,0.3333333333333333,0.43037974683544306,0.5880952380952381
LightGBM,0.8588410104011887,0.875,0.7851239669421488,0.7192982456140351,0.803921568627451,0.7592592592592593,0.7876750700280113
XGBoost,0.8543833580980683,0.8666666666666667,0.71900826446281,0.717948717948718,0.5490196078431373,0.6222222222222222,0.69593837535014
LogisticRegression,0.812778603268945,0.7916666666666666,0.7024793388429752,0.6119402985074627,0.803921568627451,0.6949152542372882,0.7162464985994398
AdaBoost,0.8647845468053492,0.8916666666666667,0.768595041322314,0.7017543859649122,0.7843137254901961,0.7407407407407407,0.7707282913165265
CatBoost,0.8291233283803864,0.9166666666666666,0.7355371900826446,0.6938775510204082,0.6666666666666666,0.68,0.726190476190476
GradientBoosting,0.8098068350668648,0.8583333333333333,0.768595041322314,0.6949152542372882,0.803921568627451,0.7454545454545455,0.773389355742297
HistGradientBoosting,0.9301634472511144,0.8916666666666667,0.7851239669421488,0.7272727272727273,0.7843137254901961,0.7547169811320755,0.7850140056022409
StackingEnsemble,0.9212481426448736,0.8666666666666667,0.7768595041322314,0.7142857142857143,0.7843137254901961,0.7476635514018691,0.7778711484593838
LSTM,0.7869362363919129,0.8666666666666667,0.6153846153846154,0.625,0.6382978723404256,0.631578947368421,0.6146034816247582
BiLSTM,0.7682737169517885,0.8666666666666667,0.6703296703296703,0.6440677966101694,0.8085106382978723,0.7169811320754716,0.6656189555125726
GRU,0.7978227060653188,0.7777777777777778,0.6373626373626373,0.6521739130434783,0.6382978723404256,0.6451612903225806,0.637330754352031
