Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC_ROC
RandomForest,0.8371040723981901,0.8014705882352942,0.8166666666666667,1.0,0.12,0.21428571428571427,0.56
LightGBM,0.8069381598793364,0.8014705882352942,0.8416666666666667,0.575,0.92,0.7076923076923077,0.8705263157894737
XGBoost,0.8536953242835595,0.8161764705882353,0.8416666666666667,0.5882352941176471,0.8,0.6779661016949152,0.8263157894736842
LogisticRegression,0.8416289592760181,0.8014705882352942,0.8583333333333333,0.7,0.56,0.6222222222222222,0.748421052631579
AdaBoost,0.9487179487179487,0.8529411764705882,0.8583333333333333,0.75,0.48,0.5853658536585366,0.7189473684210526
CatBoost,0.9487179487179487,0.8455882352941176,0.8833333333333333,0.6571428571428571,0.92,0.7666666666666667,0.896842105263158
GradientBoosting,0.9577677224736049,0.8088235294117647,0.875,0.9166666666666666,0.44,0.5945945945945946,0.714736842105263
HistGradientBoosting,0.9155354449472096,0.8308823529411765,0.85,0.5897435897435898,0.92,0.71875,0.8757894736842106
StackingEnsemble,0.9306184012066365,0.8235294117647058,0.8666666666666667,0.6285714285714286,0.88,0.7333333333333333,0.871578947368421
LSTM,0.764612954186414,0.6981132075471698,0.6555555555555556,0.3488372093023256,0.8333333333333334,0.4918032786885246,0.7222222222222223
BiLSTM,0.8104265402843602,0.6886792452830188,0.6666666666666666,0.35,0.7777777777777778,0.4827586206896552,0.7083333333333333
GRU,0.8009478672985783,0.7735849056603774,0.8444444444444444,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.8194444444444444
