Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC_ROC
RandomForest,0.8571428571428571,0.7984496124031008,0.819672131147541,0.6909090909090909,0.8837209302325582,0.7755102040816326,0.8342655284074183
LightGBM,0.8188512518409425,0.8217054263565892,0.8360655737704918,0.7254901960784313,0.8604651162790697,0.7872340425531915,0.841624963202826
XGBoost,0.7687776141384389,0.813953488372093,0.7295081967213115,0.5694444444444444,0.9534883720930233,0.7130434782608696,0.780541654400942
LogisticRegression,0.8541973490427098,0.7984496124031008,0.7622950819672131,0.6166666666666667,0.8604651162790697,0.7184466019417476,0.7846629378863703
AdaBoost,0.9057437407952872,0.8062015503875969,0.8114754098360656,0.6923076923076923,0.8372093023255814,0.7578947368421053,0.8173388283779807
CatBoost,0.7982326951399117,0.813953488372093,0.819672131147541,0.6909090909090909,0.8837209302325582,0.7755102040816326,0.8342655284074183
GradientBoosting,0.9425625920471281,0.7751937984496124,0.7049180327868853,0.5507246376811594,0.8837209302325582,0.6785714285714286,0.7456579334707094
HistGradientBoosting,0.8630338733431517,0.8217054263565892,0.8360655737704918,0.7346938775510204,0.8372093023255814,0.782608695652174,0.8363261701501326
StackingEnsemble,0.9278350515463918,0.8294573643410853,0.819672131147541,0.7142857142857143,0.813953488372093,0.7608695652173914,0.8183691492493377
LSTM,0.7781201848998459,0.7070707070707071,0.7282608695652174,0.6,0.65625,0.6268656716417911,0.7114583333333333
BiLSTM,0.802773497688752,0.6767676767676768,0.34782608695652173,0.34782608695652173,1.0,0.5161290322580645,0.5
GRU,0.785824345146379,0.7070707070707071,0.717391304347826,0.5681818181818182,0.78125,0.6578947368421053,0.7322916666666667
