Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC_ROC
RandomForest,0.8471810089020771,0.7796610169491526,0.7388059701492538,0.8,0.7906976744186046,0.7953216374269005,0.718265503875969
LightGBM,0.8204747774480712,0.8305084745762712,0.8134328358208955,0.8210526315789474,0.9069767441860465,0.861878453038674,0.7764050387596898
XGBoost,0.8382789317507419,0.8305084745762712,0.7910447761194029,0.8152173913043478,0.872093023255814,0.8426966292134831,0.7589631782945735
LogisticRegression,0.8902077151335311,0.7203389830508474,0.8731343283582089,0.8876404494382022,0.9186046511627907,0.9028571428571428,0.8551356589147286
AdaBoost,0.9792284866468842,0.7966101694915254,0.8059701492537313,0.8125,0.9069767441860465,0.8571428571428571,0.7659883720930232
CatBoost,0.798219584569733,0.8220338983050848,0.8134328358208955,0.8210526315789474,0.9069767441860465,0.861878453038674,0.7764050387596898
GradientBoosting,0.798219584569733,0.8220338983050848,0.8059701492537313,0.8191489361702128,0.8953488372093024,0.8555555555555555,0.7705910852713178
HistGradientBoosting,0.8234421364985163,0.7542372881355932,0.8208955223880597,0.8229166666666666,0.9186046511627907,0.8681318681318682,0.7822189922480619
StackingEnsemble,0.8620178041543026,0.7966101694915254,0.8208955223880597,0.8229166666666666,0.9186046511627907,0.8681318681318682,0.7822189922480619
LSTM,0.7717391304347826,0.375,0.7211538461538461,0.75,0.7868852459016393,0.768,0.7073961113229126
BiLSTM,0.8074534161490683,0.45454545454545453,0.6538461538461539,0.8378378378378378,0.5081967213114754,0.6326530612244898,0.6843309187952725
GRU,0.8136645962732919,0.6931818181818182,0.7980769230769231,0.7941176470588235,0.8852459016393442,0.8372093023255814,0.7798322531452536
