Model,Train_Accuracy,Val_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC_ROC
RandomForest,0.8575757575757575,0.7416666666666667,0.8317757009345794,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7770833333333332
LightGBM,0.8181818181818182,0.7583333333333333,0.7570093457943925,0.5111111111111111,0.8518518518518519,0.6388888888888888,0.7884259259259259
XGBoost,0.8409090909090909,0.7833333333333333,0.7757009345794392,0.5405405405405406,0.7407407407407407,0.625,0.7641203703703704
LogisticRegression,0.8590909090909091,0.8333333333333334,0.7476635514018691,0.5,0.14814814814814814,0.22857142857142856,0.549074074074074
AdaBoost,0.8636363636363636,0.7916666666666666,0.794392523364486,0.5806451612903226,0.6666666666666666,0.6206896551724138,0.7520833333333333
CatBoost,0.8893939393939394,0.7833333333333333,0.8130841121495327,0.5945945945945946,0.8148148148148148,0.6875,0.8136574074074074
GradientBoosting,0.8606060606060606,0.7666666666666667,0.8317757009345794,0.68,0.6296296296296297,0.6538461538461539,0.7648148148148148
HistGradientBoosting,0.8757575757575757,0.7666666666666667,0.8411214953271028,0.6470588235294118,0.8148148148148148,0.7213114754098361,0.8324074074074074
StackingEnsemble,0.8924242424242425,0.7833333333333333,0.8504672897196262,0.6666666666666666,0.8148148148148148,0.7333333333333333,0.8386574074074076
LSTM,0.8047619047619048,0.6777777777777778,0.7012987012987013,0.45454545454545453,0.22727272727272727,0.30303030303030304,0.5590909090909091
BiLSTM,0.8047619047619048,0.7444444444444445,0.7142857142857143,0.5,0.2727272727272727,0.35294117647058826,0.5818181818181818
GRU,0.8,0.7111111111111111,0.7272727272727273,0.5333333333333333,0.36363636363636365,0.43243243243243246,0.6181818181818183
